id,funding_check,funding_check_oi,paper_set
10.1515_econ-2022-0030,Funding information: None.,NA,../_papers/economics.rds
10.1515_econ-2022-0041-1,Funding information: This article was supported by Konkuk University in 2019.,NA,../_papers/economics.rds
10.1515_econ-2022-0045,Funding information: The authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0049,Funding information: The authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0049-1,Funding information: The authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0051-1,Funding information: The authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0075,Funding information: The author states no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0077,Funding information: The authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0101,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0107,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0109,Funding information: The author states no funding is involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0117,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2022-0125,Funding information: The author indicates personal funding.,NA,../_papers/economics.rds
10.1515_econ-2025-0149,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2025-0156,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2025-0160,Funding information: Authors state no funding involved.,NA,../_papers/economics.rds
10.1515_econ-2025-0168,"This study aims to address this gap by examining the impact of export credit support provided by ECAs on countries' (G20) exports before, during, and after the 2008 GFC. While ECAs are typically funded through the state budget or receive capital support from the government, some also possess additional capital mechanisms. Funding information: Authors state no funding involved.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2008-28,"Financial support from the ESRC (PTA-030-2003-00194), Nuffield College and the Studienstiftung des deutschen Volkes is gratefully acknowledged.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2008-32,"2 As for the ""business"" of cricket, according to the Director's Report and Financial Statements for the Year Ended 31 December 2005 posted on the Internet, the total value of turnover for the English cricket body (ECB) was around 79 million pounds during the year 2005, which roughly amounts to US$150 million at April 2008 exchange rates.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2009-20,Funding Issues,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2010-23,"When a deficit is financed by borrowing from the public there is no money creation, since the money that is injected through government expenditures was previously withdrawn.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2011-2,Financial support from the DFG is gratefully acknowledged.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-24,"The author, himself a fund manager for several years, indicates that fluctuation in the profession is large.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-37,That would be the case if matching functions and labor endowments are equal for both high-and low-skilled. Differences in endowments would shift Γ L without affecting the shape of the curves.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2013-14,I would like to acknowledge the financial support provided by The New School and Open Society Foundation for this research.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2013-27,"Like banks and building societies, credit unions take deposits and grant loans, with the caveat that loans are generally granted only to those with deposits (""member shares"").",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2015-1,The author gratefully acknowledges the financial support from JSPS and UGC.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2015-31,"The authors would like to thank the National Bank of Poland for financing this work within its scientific grant framework -grant ""Prognozowanie podstawowych wskaźników makroekonomicznych z wykorzystaniem uśredniania bayesowskiego oraz modeli czynnikowych w oparciu o dane z testów koniunktury"".",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2015-39,Table A2: List of Countries by the Immigrant Apprehension Ratio in the US No.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-2,"Acknowledgements We gratefully acknowledge the financial support by the Innovative Team Construction project of Guangdong Province under Grant No. 2016WCXTD003 and by the STU Scientific Research Foundation for Talents under Grant No. NTF12014, and by the Foundation for Young Talents in Higher Education of Guangdong, China, under Grant No.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-3,"Although European economic history provides essentially no support for the view that education of the general population has a positive causal effect on economic growth, a recent paper by Becker, Hornung and Woessmann (Education and Catch-Up in the Industrial Revolution, 2011) claims that such education had a significant impact on Prussian industrialisation.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-58,"We also gratefully acknowledge financial support by the National Natural Science Foundation of China [grant no. 71173238, 71473272, and 71573057], the National Social Science Foundation of China [grant no.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-67,J Onrubia acknowledges the financial support of Spanish Ministry of Economy and Competitiveness (project ECO2016-76506-C4-3-R).,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-10,"We also acknowledge the financial support by Sichuan Liquor Development Research Center (CJZB18-02), Sichuan Recycling Economy Research Center (XHJJ-1815) and National Natural Science Foundation of China (71572156).",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-36,The authors gratefully acknowledge the financial support from the National Natural Science Foundation of China (No.41771128).,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-47,"The authors gratefully acknowledge the financial support from the National Social Science Foundation of China (No.16BZZ086), Incubation Program on The National Social Science Fund in 2020 of Economics: The Open-Access, Open-Assessment E-Journal 13 (2019-47) www.economics-ejournal.org 36 Northwest University of China (No.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-52,"Financial support from the Ministerio de Economía y Competitividad (ECO2015-66027-P), and from the Departamento de Educación, Política Lingüística y Cultura del Gobierno Vasco (IT-1367-19) is gratefully acknowledged.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2020-13,"Even though the federal funds rate paths are nearly identical in the first 200 periods in our experiments, the dynamics of output and inflation are very different. When there is no excess reserves, the federal funds rate path conveys all information about monetary policy. FIGURE 1: Federal funds rate and personal consumption expenditure index MZM (Money zero maturity) is equal to M2 less small-denomination time deposits plus institutional money funds. Except the federal funds rate and the real borrowing rate are converted to the annual level, all other figures show the percentage deviation of a variable from its steady state value.www.economics-ejournal.org",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-47,NA,"Other works focus on the network formation mechanism behind the emergence of interbank markets (Xu et al., 2016) or the study of the relationship between bank characteristics and the distribution of funding spreads observed in the interbank money markets (Iori et al., 2015b).",../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-8,NA,"CSO weaknesses correspond to strengths of government (public sector revenue to guarantee nonprofit funding and regulatory frameworks to ensure equity; and CSO strengths (being closer to actual needs, more responsive) complement government weaknesses.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-41,NA,"Interpretations of historical events and macroeconomic fluctuations built on this premise and supported by both quantitative and qualitative evidence go at least as far back as North (1981), Olson (1982) or McNeill (1982), not to talk about more recent, extensive pieces of work such as North (1990), Olson (2000), Boix (2003), Ostrom (2005) or, most recently, Acemoglu and Robinson (2012).",../_papers/economics.rds
10.5018_economics-ejournal.ja.2015-40,NA,"Summing up their study of 17 OECD member countries, Guellec and van Pottelsberghe de la Potterie ( 2003) also conclude that publicly funded R&D has a positive net impact on private R&D However, Guellec and van Pottelsberghe de la Potterie ( 2004) stress that for publicly funded R&D to have positive effects on growth, there is a need for governments to carry out a broad and coherent innovation policy approach due to the existence of strong interactions between various diffusion channels and sources of technology.

A few studies have attempted to make direct comparisons between the returns on privately-funded and publicly funded R&D Mansfield (1980), Griliches and Lichtenberg (1984), Griliches (1986), Lichtenberg and Siegel (1991), Nadiri andMamuneas (1994), andDi Cagno et al. (2014) all find that publicly funded R&D has a lower return than privately funded R&D Griliches (1992) draws the conclusion that there is no major difference in returns between privately funded and publicly funded R&D at the company level. Other studies have reached inconclusive results on the capacity of publicly funded R&D to promote innovative outputs and economic growth (Bilbao-Osorio and Rodriguez-Pose, 2004;Bassanini et al., 2000). In fact, a comprehensive OECD survey on the sources of economic growth in the industrialized countries during the 1980s and 1990s found that only privately funded research contributed to economic growth, while publicly funded research had no positive impact on economic growth, and might even have inhibited it by displacing private funding (OECD, 2003).

The possibility that publicly funded R&D may crowd out privately funded R&D has been noted in several studies.

Becker (2014) also concludes a recent survey of the links between public and private R&D by noting that there is mixed evidence, but she goes on to argue that there has been a shift away from the earlier findings that public subsidies often crowd-out private R&D to a pattern where public subsidies typically stimulate private R&D In particular, public R&D subsidies seem to have positive effects in smaller firms (where financial constraints may limit R&D investments in the absence of subsidies) and _________________________ 2 Some of the studies that divide publicly funded R&D into civilian and defense-related R&D suggest that defense-related R&D has a weaker effect on economic growth (Hartley, 2006;Guellec and van Pottelsberghe de la Potterie, 2003), although there are also studies that find positive effects, in particular for the US (Goel et al., 2008). At the same time, there are also arguments suggesting that public and private R&D may be complements, or that some types of publicly funded R&D may have distinct positive effects on research and innovation in the private sector. Publicly funded R&D that is performed at universities and other institutes of higher learning is likely to focus on basic research that is likely to have strong positive spillover effects for commercial R&D (Adams, 1990;Mansfield, 1991Mansfield,, 1998)).

It is possible that privately funded R&D generates stronger benefits than publicly funded R&D (OECD, 2003), that interactions between private and public R&D result in more innovations than purely public research efforts (Block and Keller, 2008), or that private R&D is necessary to create the capacity for absorption and commercial exploitation of the results of publicly funded R&D (Cohen and Levinthal, 1989;Geroski, 1995).

Considering the stochastic nature of R&D, this is not surprising, in particular when analyzing firm level R&D As a broad generalization, findings tend to indicate that publicly funded R&D has a positive return, but that it is lower than the return on privately funded R&D This applies both for publicly funded R&D that is performed by companies and R&D at public universities and research institutes.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2007-9,NA,"These findings are supported by studies of Kirchgaessner (1983Kirchgaessner (, 1984) ) for Germany, and by Klovland (1984) for Norway, and Sweden, too.",../_papers/economics.rds
